# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
689.719299 10.947184 -3.586884 5861.000000 -101.972855 367.866333 496.771118
259.988434 112.685844 -12.176201 7795.000000 182.149261 150.285370 298.029663
607.533875 25.234293 -38.824570 9905.000000 -214.114761 -276.042603 -163.610245
364.021057 39.147385 -101.689087 10802.000000 -283.062469 -141.912430 80.868446
328.036774 284.467590 -165.140869 11257.000000 -161.925934 -395.724518 422.144714
152.747574 59.957096 -133.227234 8612.000000 196.426880 41.156876 -198.517853
417.839783 79.289764 -202.294464 11449.000000 469.329163 66.168480 -398.497986
561.667480 219.752197 -39.317158 11913.000000 -321.012573 105.969032 -215.226105
567.252014 184.455750 -123.542877 9093.000000 -482.983032 79.222961 -22.865082
547.399414 57.458359 -58.511368 7654.000000 127.761971 -326.769287 0.703423
168.521942 228.785736 -61.187702 11543.000000 -375.532745 5.320900 16.390873
337.297089 89.863266 -239.397232 10845.000000 449.410522 -352.732513 -196.568665
265.431366 58.997814 -109.872391 8548.000000 -210.991089 -171.436188 -305.625488
156.494339 42.360767 -8.803352 10037.000000 386.162689 245.186981 196.767410
669.496521 64.267639 -44.823547 10012.000000 -308.206787 -482.598816 50.698738
585.403015 3.219812 -137.510574 9410.000000 -121.717049 188.678345 -183.776337
21.359571 24.949636 -161.700104 8693.000000 -362.042511 -340.188782 161.697510
679.766113 214.571152 -16.733932 14102.000000 255.479248 283.553497 -481.347900
350.219574 107.559601 -38.904999 10368.000000 -194.771759 -75.015335 -11.834783
1102.664551 123.058487 -206.912872 11034.000000 133.255493 473.941406 -152.934769
417.626343 57.901554 -136.931488 12531.000000 -371.347778 -77.144516 282.136292
824.583374 250.083481 -309.817871 12679.000000 -411.222473 -437.959381 -398.315430
588.356201 172.101517 -128.542847 9477.000000 170.734192 -305.852386 -332.774109
455.189484 108.632881 -42.647293 8046.000000 -491.563873 180.239243 -122.714966
94.067360 203.280762 -45.653214 11565.000000 352.205261 -212.195374 -39.481598
725.453979 38.129200 -239.346039 10113.000000 122.471054 -73.133087 464.589966
258.277710 179.090942 -102.990143 13318.000000 494.860992 94.546448 -179.767197
420.642120 203.697495 -213.511856 13258.000000 248.881958 -392.874237 75.851753
427.333069 45.326614 -99.800766 8847.000000 -162.084900 249.488892 253.942383
448.556763 40.394154 -142.715179 11115.000000 353.604065 205.013062 -169.707199
385.783203 190.926453 -70.562080 6963.000000 403.826813 496.229370 342.299133
477.428406 57.720028 -147.712799 6876.000000 -244.467896 449.806335 -427.019836
531.561279 33.850746 -94.826439 7505.000000 183.983002 -102.884865 -39.827385
325.919250 97.950516 -48.927383 6686.000000 -119.457596 -188.683624 473.748901
675.470581 39.263683 -83.056435 6493.000000 -405.045563 -433.411499 -0.110783
306.934998 236.099762 -43.974998 10057.000000 -422.024475 -475.558472 -240.314636
600.126221 51.132107 -130.201111 9580.000000 -247.511078 395.790649 -43.019653
788.541260 93.045250 -125.478958 9163.000000 -457.277283 -431.222198 403.381714
503.080933 25.037004 -77.367706 8007.000000 247.302734 -407.719055 -302.379456
331.092346 230.181412 -205.827805 10157.000000 448.579285 -438.214661 462.420471
617.464905 43.029198 -18.238289 9321.000000 -63.231636 454.064087 -184.105011
443.939606 117.098480 -162.443298 7657.000000 65.383224 -329.745117 154.959793
826.041321 96.929398 -118.133850 7938.000000 201.677338 74.917404 328.298523
609.459290 23.646753 -39.559082 11023.000000 217.717865 -460.257965 -19.653137
381.313690 36.943474 -127.338501 9360.000000 -36.607658 6.079920 301.413971
720.674683 30.793732 -77.665443 7819.000000 478.826416 394.680725 -445.289062
439.314514 40.363075 -76.465378 11331.000000 197.235229 -170.774658 443.122009
344.095245 112.816017 -17.262344 7291.000000 265.301697 128.762680 -313.160980
296.809082 725.356689 -213.646591 8342.000000 324.370483 268.829102 -430.409149
265.280792 88.954010 -71.196922 7730.000000 365.219879 89.996056 347.555115
888.154785 140.467606 -199.714859 10194.000000 -369.457397 344.134247 -187.218689
270.556458 25.625248 -51.556133 6204.000000 18.596817 -480.565369 -23.317930
508.488831 235.282669 -68.702591 14770.000000 -51.290855 -326.090302 -194.023285
551.990967 105.110863 -196.129974 7692.000000 -76.222946 499.714844 -365.019348
363.094666 96.672867 -84.629257 7341.000000 265.175415 -33.723209 -170.844391
153.544708 67.082008 -158.523575 8822.000000 271.338440 -108.678093 160.812149
234.138336 33.924923 -58.660637 7746.000000 -307.205475 32.402214 -271.298492
314.159363 260.402130 -40.941040 9365.000000 375.502930 435.307373 -155.864594
699.698059 104.437332 -224.744690 7703.000000 400.368530 -376.605774 40.211128
497.113983 216.526047 -79.364777 10001.000000 57.593506 -404.845581 90.086807
382.149628 137.993530 -61.086601 9871.000000 381.003204 -210.681183 -141.293533
108.126945 94.167297 -64.874939 7187.000000 -264.164612 -156.587494 15.604478
719.387024 206.044479 -144.348785 8408.000000 -58.057976 398.257385 499.501465
793.767395 25.588522 -17.369308 7638.000000 397.922943 28.549648 -30.856010
601.171509 37.253933 -64.944504 11200.000000 427.859253 22.963520 160.110474
284.484009 122.459656 -232.220963 13966.000000 144.203003 386.986877 -383.954529
