# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
1013.303711 91.979996 -6.607613 1882.000000 -95.182693 -187.117493 59.708076
758.441467 149.774109 -21.379089 1564.000000 -35.458569 308.253479 -201.949921
806.235718 58.817482 -179.846710 1776.000000 303.825745 91.419281 -196.086197
255.422958 92.492065 -60.230282 992.000000 -76.142990 -206.178528 33.311394
364.015289 98.916771 -15.961487 1234.000000 -202.396545 396.065613 -336.497162
422.089661 14.157457 -120.683472 1008.000000 53.771301 -294.976501 -157.323486
388.106628 113.007591 -184.670944 1176.000000 2.437211 -53.341652 -488.621613
268.273529 141.807571 -167.776611 1768.000000 -277.051758 -461.686493 -164.969391
795.668884 96.756180 -34.270634 1336.000000 304.059845 -302.788513 -328.929199
419.335815 206.822556 -136.411682 1743.000000 -382.410400 425.967926 379.714172
389.469879 111.391708 -17.585594 1282.000000 399.068115 261.396790 -189.259460
264.116882 110.537926 -240.373840 1144.000000 -168.188004 -162.245514 -76.771225
236.670349 141.121399 -136.598358 1627.000000 4.348181 468.939972 21.519409
887.017151 320.778748 -1113.369019 1957.000000 114.944130 358.256409 -149.039719
251.610657 130.602371 -115.763321 1956.000000 122.443001 -440.302063 180.083817
339.262146 73.626564 -214.548050 2074.000000 177.921692 -448.660034 473.185974
380.855072 125.909920 -130.827469 1712.000000 446.964020 416.284790 50.769054
214.490204 95.997223 -126.647972 1498.000000 -278.335144 104.683090 -67.647408
591.625488 66.788879 -22.045982 1656.000000 -287.707123 -58.407349 -431.442444
576.725159 76.117096 -54.827599 1565.000000 358.385498 -122.990417 107.156113
848.602722 58.463730 -31.874039 1000.000000 68.947235 108.307335 -230.908417
310.365906 79.446182 -64.216064 1105.000000 83.159241 122.601486 302.902588
492.882568 123.896469 -72.819946 1484.000000 131.868866 273.037109 -424.407043
113.772972 64.575775 -8.933159 1011.000000 -379.905823 -444.332092 251.211029
173.875763 57.443993 -123.429550 1496.000000 335.157654 -93.329445 -276.997070
622.016541 20.709297 -180.926422 1234.000000 -206.341812 -286.182068 -414.168488
356.264771 44.714218 -88.479897 1335.000000 90.471344 -178.216492 -450.816467
412.719757 119.061272 -153.780899 1361.000000 168.543762 480.649231 -35.134743
400.255646 115.808121 -106.093239 1485.000000 -345.167969 450.768738 459.512817
618.195435 215.367233 -150.783829 1954.000000 342.428375 477.144104 435.860046
246.211349 150.491745 -2.109196 1509.000000 495.833862 -251.072845 -19.906557
358.225281 69.513855 -170.489456 1841.000000 142.856308 175.729507 -323.878571
209.449036 97.041191 -137.549515 1533.000000 408.449280 445.037231 363.531952
481.776581 193.992813 -20.533180 1322.000000 -132.230881 0.546193 431.425507
190.922836 113.447823 -108.992035 1685.000000 486.060059 375.220276 66.203613
394.680603 25.194788 -3.008514 1558.000000 -420.185913 -278.576233 298.077148
444.998138 160.215622 -7.335884 1166.000000 6.665965 -132.542938 -324.190399
369.244080 98.776146 -138.960968 1495.000000 360.252228 220.985855 64.419907
787.207275 121.353928 -31.696022 1170.000000 89.180008 393.929504 86.011505
401.135376 46.954849 -65.841507 1431.000000 482.679077 268.350159 -108.435623
951.628235 116.936256 -36.710678 1766.000000 372.472534 130.556549 298.040588
380.179718 92.257301 -182.342453 1281.000000 -114.629822 90.549187 -143.040924
231.001312 73.796387 -241.502975 1289.000000 -390.029907 -44.655746 -450.784607
