# v_cm v_tan, v_rad n_tot x_cm y_cm z_cm
312.322510 61.669670 -121.726913 1392.030029 105402.703125 59057.554688 123796.203125
197.259430 89.910950 -90.017624 851.966431 186720.812500 10239.306641 176259.781250
253.428726 163.245041 -66.506561 877.964722 128596.257812 195314.125000 9166.121094
206.714737 122.238518 -96.419189 737.695190 63304.867188 167650.703125 147503.859375
390.637756 85.170311 -91.501602 772.129395 98423.429688 145666.703125 158991.515625
684.451538 52.363495 -83.298012 877.163574 159082.062500 87636.968750 59579.820312
133.862793 76.829353 -99.762436 894.703491 57041.187500 59572.828125 21855.917969
407.532318 114.105339 -44.460976 646.491211 25196.515625 177709.031250 131840.843750
231.265167 131.076691 -13.038666 695.533508 111235.625000 189527.593750 29582.916016
516.355286 37.354351 -95.914246 591.129639 16018.523438 74485.609375 150010.281250
338.743011 172.389893 -62.677391 639.818726 180746.406250 35138.671875 983.010010
386.749512 111.337975 -64.257408 489.920593 18462.371094 83065.296875 69193.734375
155.182404 174.242447 -19.460304 714.645447 184710.390625 15963.990234 173787.984375
203.464752 146.937119 -151.178879 427.180450 78900.796875 142265.515625 47653.316406
270.112732 113.744102 -58.170494 778.049072 48637.550781 191104.484375 93689.359375
478.107971 176.904099 -98.267693 790.036011 204296.656250 103370.296875 133334.656250
330.268890 98.982834 -143.074387 616.826172 65052.679688 131187.562500 111772.328125
96.041283 122.740120 -35.549416 704.672607 130665.078125 33291.175781 136068.562500
472.609833 53.984482 -96.104988 665.737305 31360.531250 48331.015625 171901.671875
317.448456 33.695499 -148.227615 591.769409 67616.523438 176876.953125 35495.539062
441.869049 144.964340 -13.172646 480.751129 141941.531250 91959.437500 13425.784180
376.450256 79.915115 -74.381264 634.177185 120890.468750 41176.605469 184014.875000
222.889145 130.309219 -67.262993 454.210876 198442.937500 192102.031250 138447.984375
216.614151 112.225731 -90.708969 435.570068 126063.156250 182187.609375 181673.671875
424.773651 120.838242 -50.791954 730.412415 76535.187500 135759.375000 81534.968750
336.271942 59.683540 -212.638794 581.873535 62681.351562 132777.687500 54243.902344
174.285629 179.556839 -55.560616 613.523682 126452.101562 62908.339844 90032.203125
330.590851 46.701385 -99.610298 558.471619 34644.359375 104135.640625 176537.343750
393.435852 51.019814 -91.932991 568.392456 181082.812500 45579.750000 173538.875000
172.409363 94.386131 -141.656586 645.320190 86888.296875 143010.453125 16292.156250
52.803043 130.508514 -17.708763 544.950195 168243.875000 186483.968750 114905.937500
217.706543 126.320648 -94.695625 700.262878 69823.320312 43446.062500 68344.625000
268.013733 32.196205 -98.578888 549.931274 149178.250000 42084.351562 194367.312500
274.943085 60.632893 -97.235260 575.842468 130608.421875 141408.703125 156410.687500
297.297455 51.697342 -90.937019 571.617493 85678.437500 150530.453125 25135.699219
235.619965 85.133499 -100.911224 606.236206 121236.476562 197390.500000 35802.878906
114.531013 122.442169 -11.156502 669.115601 51852.878906 188774.593750 75277.421875
261.897797 124.543076 -8.875626 458.212402 186616.812500 159460.515625 33042.996094
703.863708 29.181778 -38.212021 461.197540 9863.503906 72451.984375 203186.328125
405.017181 102.799934 -51.284599 566.038208 61716.453125 58516.921875 44304.054688
216.620316 70.873413 -64.948883 624.256714 127697.609375 71757.656250 55587.210938
338.680145 25.006210 -52.947906 510.140991 71947.843750 199867.421875 56864.382812
593.027649 89.315712 -67.168976 645.411621 66136.195312 34204.632812 171745.156250
418.783051 290.073395 -84.601631 364.880676 994.801514 10215.706055 42677.390625
360.616028 121.088585 -3.657585 424.690735 2028.908447 139376.984375 94380.437500
377.921509 74.417664 -75.227562 586.276672 155409.640625 178948.250000 66611.523438
178.253632 8.173055 -73.556526 525.784729 76221.359375 114144.226562 36430.742188
541.575928 37.754940 -34.572159 546.611938 51566.640625 112928.218750 177207.359375
299.500397 121.562233 -34.587788 457.267090 69697.968750 28274.865234 64224.234375
834.187439 207.479935 -119.316566 472.206970 164769.312500 165832.031250 63526.617188
196.606369 12.106542 -114.633476 538.275635 158935.781250 35702.257812 9187.614258
176.445007 55.251778 -2.008163 493.778839 45521.273438 74031.156250 95146.656250
285.806091 305.774353 -121.747627 485.703369 93830.921875 126270.921875 128658.226562
276.174164 30.316446 -16.495766 457.516632 150044.078125 204439.796875 31894.158203
196.324814 42.702595 -43.695114 507.419708 70318.453125 96432.070312 181097.859375
340.026917 137.485580 -126.476631 524.389771 162357.437500 128305.562500 10160.034180
196.976089 55.431873 -31.171661 441.844910 165211.125000 129207.828125 112551.757812
206.160767 92.074478 -108.544518 369.219604 197335.218750 42371.453125 99741.640625
506.987671 125.012199 -36.821014 482.529114 144694.656250 77186.742188 167672.625000
461.224976 29.410351 -48.459587 382.081238 138618.718750 104138.757812 27834.539062
449.002930 65.718605 -15.374062 396.343750 173683.046875 82415.757812 192121.031250
207.624771 17.186733 -16.879364 420.516968 107908.578125 136303.843750 68504.828125
414.848755 22.885735 -30.204826 455.548340 118696.421875 37237.980469 177982.953125
418.944885 132.065659 -146.818069 468.634216 129285.015625 61732.132812 123415.625000
432.053040 22.854691 -43.076797 389.151794 20223.925781 141417.156250 93282.218750
436.724518 134.328217 -44.103188 518.205383 107669.640625 195194.187500 162893.015625
249.474289 6.012032 -52.121658 458.575806 116744.687500 172688.062500 11704.245117
532.546509 43.419544 -62.281647 516.022217 87188.179688 117695.859375 79455.171875
372.262512 87.203133 -42.957123 296.645508 174573.343750 73846.281250 181636.828125
222.040222 73.903893 -60.528526 359.373871 108295.796875 98695.109375 16414.216797
351.547729 64.142220 -74.298340 362.056152 107195.156250 152740.468750 182590.453125
251.802475 32.300407 -56.207893 349.626251 61579.429688 171823.343750 189622.375000
709.920715 146.231766 -9.708839 427.163361 184740.375000 130871.156250 1477.222534
354.063171 54.884663 -44.703911 472.539948 118309.320312 4157.292480 110156.031250
